MATUMBAMAN, 13245128645328723, Lasse Aukusti, Finland, 1995-03-03, Lone Druid, 5310, Active,
Nisha, 15532938601031196, Michal Jankowski, Poland, 2000-09-28, Terrorblade, 4980, Active,
zai, 18074007267880805, Ludwig Wahlberg, Sweden, 1997-08-05, Enigma, 5660, Active,
YapzOr, 59559627923289016, Yazied Jaradat, Jordan, 1994-10-17, Rubick, 5290, Active,
Puppey, 75732735680263951, Clement Ivanov, Estonia, 1990-03-06, Chen, 5970, Active,

EternaLEnVy, 46432296765015628, Jacky Mao, Canada, 1991-07-02, Terrorblade, 5190, Active,
Ace, 35743610291874665, Marcus Hoelgaard, Denmark, 1994-01-19, Meepo, 5160, Active,
Sneyking, 94224382114845672, Jingjun Wu, United States, 1995-05-03, Mirana, 5430, Active,
MISERY, 81774286793421101, Rasmus Filipsen, Denmark, 1991-07-14, Rubick, 5600, Active,
pieliedie, 66723874916363400, Johan Astrom, Sweden, 1991-08-05, Io, 6510, Active,

Nikobaby, 21910905722633743, Nikolay Nikolov, Bulgaria, 1997-05-27, Morphling, 5470, Active,
Limmp, 95472279822946392, Linus Blomdin, Sweden, 1995-05-31, Puck, 5690, Active,
s4, 98356213072479694, Gustav Magnusson, Sweden, 1992-04-01, Magnus, 6170, Active,
Handsken, 13496213361616567, Simon Haag, Sweden, 1994-04-24, Io, 5940, Active,
fng, 41840792526073040, Artiom Barshack, Belarus, 1995-09-24, Bane, 6050, Active,

N0tail, 27304069370599303, Johan Sundstein, Denmark, 1993-10-08, Chen, 5000, Active,
Saksa, 43027399174998579, Martin Sazdov, North Macedonia, 12-06-1995, Rubick, 4000, Active,
Ceb, 10574291456968494, Sebastien Debs, France, 11-06-1992, Magnus, 5600, Active,
Topson, 26370449891905441, Topias Miikka Taavitsainen, Finland, 14-04-1998, Monkey King, 4500, Active,